"sex","la","year","e50","e65","e80"
"male","E06000004",2012,76.5315068493151,79.4680511182109,85.6299694189602
"male","E06000004",2013,76.3293963254593,79.6853582554517,86.1044776119403
"male","E06000005",2001,NA,NA,NA
"male","E06000005",2002,75.9166666666667,78.8072562358277,85.3145539906103
"male","E06000005",2003,75.3246753246753,78.5512820512821,85.2265193370166
"male","E06000005",2004,75.6568047337278,79.1092636579572,85.1650943396226
"male","E06000005",2005,75.9337474120083,79.2864197530864,85.3142857142857
"male","E06000005",2006,76.410989010989,79.7279792746114,85.7718446601942
"male","E06000005",2007,75.6938325991189,79.3962765957447,84.7941176470588
"male","E06000005",2008,76.6417233560091,80.3178082191781,85.3899082568807
"male","E06000005",2009,76.0963597430407,80.1116883116883,85.9951690821256
"male","E06000005",2010,76.3719008264463,79.5429975429975,85.4977375565611
"male","E06000005",2011,77.3424036281179,80.8032345013477,85.7947598253275
"male","E06000005",2012,77.4025157232704,80.1092636579572,85.8953974895397
"male","E06000005",2013,76.491341991342,79.6075949367089,86.0294117647059
"male","E06000006",2001,NA,NA,NA
"male","E06000006",2002,74.3059273422562,78.0329411764706,84.7150837988827
"male","E06000006",2003,74.3441064638783,78.4454976303318,84.7157360406091
"male","E06000006",2004,73.959595959596,77.825,84.6802325581395
"male","E06000006",2005,73.4870848708487,77.5186046511628,84.7719298245614
"male","E06000006",2006,74.9321357285429,79.0847880299252,85.1306532663317
"male","E06000006",2007,74.6337209302326,78.3508353221957,85.2760416666667
"male","E06000006",2008,75.550284629981,78.7511210762332,85.1549295774648
"male","E06000006",2009,75.7045908183633,78.9497607655502,85.4375
"male","E06000006",2010,75.040404040404,78.8805970149254,85.6052631578947
"male","E06000006",2011,75.4990328820116,79.1721698113208,85.2206572769953
"male","E06000006",2012,75.6416510318949,79.2745995423341,85.4618834080717
"male","E06000006",2013,75.9981167608286,79.3910112359551,85.2369477911647
"male","E06000007",2001,NA,NA,NA
"male","E06000007",2002,75.5018587360595,78.4263005780347,84.9292604501608
"male","E06000007",2003,75.6279069767442,78.5359195402299,85.1930379746835
"male","E06000007",2004,75.7137355584082,78.959028831563,85.2096774193548
"male","E06000007",2005,74.7997698504028,78.5260930888576,85.1619937694704
"male","E06000007",2006,75.5422276621787,79.1270310192024,85.1953352769679
"male","E06000007",2007,76.0616279069767,79.4770514603616,85.1432360742706
"male","E06000007",2008,76.3455233291299,79.5771513353116,85.5610465116279
"male","E06000007",2009,75.8218997361478,79.6634615384615,85.4092219020173
"male","E06000007",2010,76.3900889453621,79.647676161919,85.7215909090909
"male","E06000007",2011,75.6518424396442,79.5358255451713,85.5449101796407
"male","E06000007",2012,76.5006060606061,79.5127478753541,85.3994708994709
"male","E06000007",2013,77.2331786542923,80.2190860215054,85.8496420047733
"male","E06000008",2001,NA,NA,NA
"male","E06000008",2002,74.7925801011804,78.4485596707819,85.2009132420091
"male","E06000008",2003,75.1052631578947,78.7340206185567,85.0745614035088
"male","E06000008",2004,74.9637023593466,78.5462555066079,85.1556603773585
