"la","year","sex","med_le_0","med_le_50","med_le_65","med_le_80"
"E06000027",2008,"male",82,83,84,88
"E06000027",2009,"female",86,87,87,90
"E06000027",2009,"male",81,82,84,88
"E06000027",2010,"female",86,86,87,90
"E06000027",2010,"male",83,83,84,87
"E06000027",2011,"female",87,87,88,89
"E06000027",2011,"male",83,84,85,88
"E06000027",2012,"female",86,87,88,90
"E06000027",2012,"male",84,84,86,89
"E06000027",2013,"female",87,87,88,90
"E06000027",2013,"male",84,84,85,88
"E06000028",2002,"female",85,85,86,89
"E06000028",2002,"male",80,81,83,87
"E06000028",2003,"female",86,86,86,89
"E06000028",2003,"male",80,81,83,87
"E06000028",2004,"female",85,85,86,89
"E06000028",2004,"male",81,82,83,87
"E06000028",2005,"female",86,86,87,89
"E06000028",2005,"male",83,83,84,88
"E06000028",2006,"female",85,86,87,90
"E06000028",2006,"male",82,83,84,88
"E06000028",2007,"female",86,87,88,90
"E06000028",2007,"male",83,84,85,88
"E06000028",2008,"female",86,86,87,90
"E06000028",2008,"male",82,83,84,88
"E06000028",2009,"female",86,86,87,90
"E06000028",2009,"male",83,83,85,88
"E06000028",2010,"female",86,87,87,90
"E06000028",2010,"male",83,83,84,88
"E06000028",2011,"female",87,87,88,90
"E06000028",2011,"male",82,82,84,88
"E06000028",2012,"female",87,87,87,90
"E06000028",2012,"male",83,84,84,88
"E06000028",2013,"female",86,86,87,90
"E06000028",2013,"male",83,83,84,88
"E06000029",2002,"female",86,86,87,89
"E06000029",2002,"male",82,82,84,88
"E06000029",2003,"female",85,85,86,90
"E06000029",2003,"male",82,83,84,87
"E06000029",2004,"female",85,86,87,89
"E06000029",2004,"male",81,82,83,87
"E06000029",2005,"female",86,87,88,90
"E06000029",2005,"male",83,84,85,87
"E06000029",2006,"female",87,87,88,90
"E06000029",2006,"male",82,82,83,87
"E06000029",2007,"female",87,87,88,90
"E06000029",2007,"male",84,84,85,88
"E06000029",2008,"female",87,87,87,89
"E06000029",2008,"male",83,84,85,88
"E06000029",2009,"female",87,88,88,90
"E06000029",2009,"male",82,83,84,88
"E06000029",2010,"female",87,88,88,90
"E06000029",2010,"male",83,84,85,88
"E06000029",2011,"female",88,88,89,90
"E06000029",2011,"male",84,85,86,88
"E06000029",2012,"female",87,87,88,90
