"year","age","population_count","sex","region"
"1982",73,"40713","total","scotland"
"1982",73,"16254","male","scotland"
"1982",73,"24459","female","scotland"
"1982",74,"38424","total","scotland"
"1982",74,"15013","male","scotland"
"1982",74,"23411","female","scotland"
"1982",75,"34988","total","scotland"
"1982",75,"13388","male","scotland"
"1982",75,"21600","female","scotland"
"1982",76,"33011","total","scotland"
"1982",76,"12061","male","scotland"
"1982",76,"20950","female","scotland"
"1982",77,"30254","total","scotland"
"1982",77,"10741","male","scotland"
"1982",77,"19513","female","scotland"
"1982",78,"27607","total","scotland"
"1982",78,"9445","male","scotland"
"1982",78,"18162","female","scotland"
"1982",79,"24737","total","scotland"
"1982",79,"8225","male","scotland"
"1982",79,"16512","female","scotland"
"1982",80,"22020","total","scotland"
"1982",80,"7007","male","scotland"
"1982",80,"15013","female","scotland"
"1982",81,"19682","total","scotland"
"1982",81,"5885","male","scotland"
"1982",81,"13797","female","scotland"
"1982",82,"17295","total","scotland"
"1982",82,"4915","male","scotland"
"1982",82,"12380","female","scotland"
"1982",83,"13930","total","scotland"
"1982",83,"3786","male","scotland"
"1982",83,"10144","female","scotland"
"1982",84,"11934","total","scotland"
"1982",84,"3029","male","scotland"
"1982",84,"8905","female","scotland"
"1982",85,"10173","total","scotland"
"1982",85,"2486","male","scotland"
"1982",85,"7687","female","scotland"
"1982",86,"8634","total","scotland"
"1982",86,"1985","male","scotland"
"1982",86,"6649","female","scotland"
"1982",87,"6863","total","scotland"
"1982",87,"1642","male","scotland"
"1982",87,"5221","female","scotland"
"1982",88,"5547","total","scotland"
"1982",88,"1291","male","scotland"
"1982",88,"4256","female","scotland"
"1982",89,"4459","total","scotland"
"1982",89,"950","male","scotland"
"1982",89,"3509","female","scotland"
"1982",90,"13709","total","scotland"
"1982",90,"2732","male","scotland"
"1982",90,"10977","female","scotland"
"1983",0,"65110","total","scotland"
"1983",0,"33411","male","scotland"
"1983",0,"31699","female","scotland"
"1983",1,"66015","total","scotland"
"1983",1,"33690","male","scotland"
"1983",1,"32325","female","scotland"
"1983",2,"67723","total","scotland"
"1983",2,"34821","male","scotland"
"1983",2,"32902","female","scotland"
"1983",3,"66026","total","scotland"
"1983",3,"33747","male","scotland"
"1983",3,"32279","female","scotland"
"1983",4,"63633","total","scotland"
"1983",4,"32788","male","scotland"
"1983",4,"30845","female","scotland"
"1983",5,"59327","total","scotland"
"1983",5,"30258","male","scotland"
"1983",5,"29069","female","scotland"
"1983",6,"58774","total","scotland"
"1983",6,"30262","male","scotland"
"1983",6,"28512","female","scotland"
"1983",7,"64236","total","scotland"
"1983",7,"33050","male","scotland"
"1983",7,"31186","female","scotland"
"1983",8,"65167","total","scotland"
"1983",8,"33233","male","scotland"
"1983",8,"31934","female","scotland"
"1983",9,"66811","total","scotland"
"1983",9,"34266","male","scotland"
"1983",9,"32545","female","scotland"
"1983",10,"72062","total","scotland"
"1983",10,"36989","male","scotland"
"1983",10,"35073","female","scotland"
"1983",11,"77516","total","scotland"
"1983",11,"39422","male","scotland"
"1983",11,"38094","female","scotland"
"1983",12,"82323","total","scotland"
"1983",12,"42012","male","scotland"
"1983",12,"40311","female","scotland"
"1983",13,"82872","total","scotland"
"1983",13,"42233","male","scotland"
"1983",13,"40639","female","scotland"
"1983",14,"86161","total","scotland"
"1983",14,"44151","male","scotland"
"1983",14,"42010","female","scotland"
"1983",15,"88452","total","scotland"
"1983",15,"45118","male","scotland"
"1983",15,"43334","female","scotland"
"1983",16,"89861","total","scotland"
"1983",16,"46159","male","scotland"
"1983",16,"43702","female","scotland"
"1983",17,"88696","total","scotland"
"1983",17,"45109","male","scotland"
"1983",17,"43587","female","scotland"
"1983",18,"93389","total","scotland"
"1983",18,"47550","male","scotland"
"1983",18,"45839","female","scotland"
"1983",19,"91830","total","scotland"
"1983",19,"46525","male","scotland"
"1983",19,"45305","female","scotland"
"1983",20,"90201","total","scotland"
"1983",20,"45782","male","scotland"
"1983",20,"44419","female","scotland"
"1983",21,"88691","total","scotland"
"1983",21,"45271","male","scotland"
"1983",21,"43420","female","scotland"
"1983",22,"86458","total","scotland"
"1983",22,"43890","male","scotland"
"1983",22,"42568","female","scotland"
"1983",23,"83781","total","scotland"
"1983",23,"42783","male","scotland"
"1983",23,"40998","female","scotland"
"1983",24,"81138","total","scotland"
"1983",24,"41043","male","scotland"
"1983",24,"40095","female","scotland"
"1983",25,"78329","total","scotland"
"1983",25,"39450","male","scotland"
"1983",25,"38879","female","scotland"
"1983",26,"75359","total","scotland"
"1983",26,"37940","male","scotland"
"1983",26,"37419","female","scotland"
"1983",27,"73992","total","scotland"
"1983",27,"37513","male","scotland"
"1983",27,"36479","female","scotland"
"1983",28,"70460","total","scotland"
"1983",28,"35416","male","scotland"
"1983",28,"35044","female","scotland"
"1983",29,"70178","total","scotland"
"1983",29,"35188","male","scotland"
"1983",29,"34990","female","scotland"
"1983",30,"68752","total","scotland"
"1983",30,"34596","male","scotland"
"1983",30,"34156","female","scotland"
"1983",31,"66618","total","scotland"
"1983",31,"33354","male","scotland"
"1983",31,"33264","female","scotland"
"1983",32,"68326","total","scotland"
"1983",32,"34224","male","scotland"
"1983",32,"34102","female","scotland"
"1983",33,"68902","total","scotland"
"1983",33,"34678","male","scotland"
"1983",33,"34224","female","scotland"
"1983",34,"71358","total","scotland"
"1983",34,"35763","male","scotland"
"1983",34,"35595","female","scotland"
"1983",35,"74510","total","scotland"
"1983",35,"37279","male","scotland"
"1983",35,"37231","female","scotland"
"1983",36,"81315","total","scotland"
"1983",36,"40738","male","scotland"
"1983",36,"40577","female","scotland"
"1983",37,"62819","total","scotland"
"1983",37,"31423","male","scotland"
"1983",37,"31396","female","scotland"
"1983",38,"60540","total","scotland"
"1983",38,"30229","male","scotland"
"1983",38,"30311","female","scotland"
"1983",39,"62905","total","scotland"
