ecode,ecode_la_name,ecode_region,ecode_class,ons_code,ons_la_name,ons_region_code,ons_region_name
E2731,Craven,YH,SD,E07000163,Craven,E12000003,Yorkshire and The Humber
E2732,Hambleton,YH,SD,E07000164,Hambleton,E12000003,Yorkshire and The Humber
E2734,Richmondshire,YH,SD,E07000166,Richmondshire,E12000003,Yorkshire and The Humber
E2736,Scarborough,YH,SD,E07000168,Scarborough,E12000003,Yorkshire and The Humber
E2753,Harrogate,YH,SD,E07000165,Harrogate,E12000003,Yorkshire and The Humber
E2755,Ryedale,YH,SD,E07000167,Ryedale,E12000003,Yorkshire and The Humber
E2757,Selby,YH,SD,E07000169,Selby,E12000003,Yorkshire and The Humber
E2820,Northamptonshire,EM,SC,E10000021,Northamptonshire,E12000004,East Midlands
E2831,Corby,EM,SD,E07000150,Corby,E12000004,East Midlands
E2832,Daventry,EM,SD,E07000151,Daventry,E12000004,East Midlands
E2833,East Northamptonshire,EM,SD,E07000152,East Northamptonshire,E12000004,East Midlands
E2834,Kettering,EM,SD,E07000153,Kettering,E12000004,East Midlands
E2835,Northampton,EM,SD,E07000154,Northampton,E12000004,East Midlands
E2836,South Northamptonshire,EM,SD,E07000155,South Northamptonshire,E12000004,East Midlands
E2837,Wellingborough,EM,SD,E07000156,Wellingborough,E12000004,East Midlands
E2901,Northumberland UA,NE,UA,E06000057,Northumberland,E12000001,North East
E3001,City of Nottingham UA,EM,UA,E06000018,Nottingham,E12000004,East Midlands
E3021,Nottinghamshire,EM,SC,E10000024,Nottinghamshire,E12000004,East Midlands
E3031,Ashfield,EM,SD,E07000170,Ashfield,E12000004,East Midlands
E3032,Bassetlaw,EM,SD,E07000171,Bassetlaw,E12000004,East Midlands
E3033,Broxtowe,EM,SD,E07000172,Broxtowe,E12000004,East Midlands
E3034,Gedling,EM,SD,E07000173,Gedling,E12000004,East Midlands
E3035,Mansfield,EM,SD,E07000174,Mansfield,E12000004,East Midlands
E3036,Newark & Sherwood,EM,SD,E07000175,Newark and Sherwood,E12000004,East Midlands
E3038,Rushcliffe,EM,SD,E07000176,Rushcliffe,E12000004,East Midlands
E3120,Oxfordshire,SE,SC,E10000025,Oxfordshire,E12000008,South East
E3131,Cherwell,SE,SD,E07000177,Cherwell,E12000008,South East
E3132,Oxford,SE,SD,E07000178,Oxford,E12000008,South East
E3133,South Oxfordshire,SE,SD,E07000179,South Oxfordshire,E12000008,South East
E3134,Vale of White Horse,SE,SD,E07000180,Vale of White Horse,E12000008,South East
E3135,West Oxfordshire,SE,SD,E07000181,West Oxfordshire,E12000008,South East
E3201,Telford and the Wrekin UA,WM,UA,E06000020,Telford and Wrekin,E12000005,West Midlands
E3202,Shropshire UA,WM,UA,E06000051,Shropshire,E12000005,West Midlands
E3320,Somerset,SW,SC,E10000027,Somerset,E12000009,South West
E3331,Mendip,SW,SD,E07000187,Mendip,E12000009,South West
E3332,Sedgemoor,SW,SD,E07000188,Sedgemoor,E12000009,South West
E3333,Taunton Deane,SW,SD,E07000190,Taunton Deane,E12000009,South West
E3334,South Somerset,SW,SD,E07000189,South Somerset,E12000009,South West
E3335,West Somerset,SW,SD,E07000191,West Somerset,E12000009,South West
E3401,Stoke-on-Trent UA,WM,UA,E06000021,Stoke-on-Trent,E12000005,West Midlands
E3421,Staffordshire,WM,SC,E10000028,Staffordshire,E12000005,West Midlands
E3431,Cannock Chase,WM,SD,E07000192,Cannock Chase,E12000005,West Midlands
E3432,East Staffordshire,WM,SD,E07000193,East Staffordshire,E12000005,West Midlands
E3433,Lichfield,WM,SD,E07000194,Lichfield,E12000005,West Midlands
E3434,Newcastle-under-Lyme,WM,SD,E07000195,Newcastle-under-Lyme,E12000005,West Midlands
E3435,South Staffordshire,WM,SD,E07000196,South Staffordshire,E12000005,West Midlands
E3436,Stafford,WM,SD,E07000197,Stafford,E12000005,West Midlands
E3437,Staffordshire Moorlands,WM,SD,E07000198,Staffordshire Moorlands,E12000005,West Midlands
E3439,Tamworth,WM,SD,E07000199,Tamworth,E12000005,West Midlands
E3520,Suffolk,EE,SC,E10000029,Suffolk,E12000006,East of England
E3531,Babergh,EE,SD,E07000200,Babergh,E12000006,East of England
E3532,Forest Heath,EE,SD,E07000201,Forest Heath,E12000006,East of England
E3533,Ipswich,EE,SD,E07000202,Ipswich,E12000006,East of England
E3534,Mid Suffolk,EE,SD,E07000203,Mid Suffolk,E12000006,East of England
E3535,St Edmundsbury,EE,SD,E07000204,St Edmundsbury,E12000006,East of England
E3536,Suffolk Coastal,EE,SD,E07000205,Suffolk Coastal,E12000006,East of England
